judul_film,tahun_rilis,sutradara
Get Lost: Urban Legend di Benteng Pendem,2018,Chiska Doppert
If This Is My Story,2018,Djenar Maesa Ayu
"Love Reborn: Comics, Music & Stories of the Past",2018,Jay Sukmo
Maipa Deapati & Datu Museng (The Hero,2018,Rere Art2tonic
Message Man,2018,Corey Pearson
Rumah Belanda,2018,Hedy Suryawan
Pai kau,2018,Sidi Saleh
The Night Comes for Us,2018,Timo Tjahjanto
212 Warrior,2018,Angga Dwimas Sasongko
Daysleepers,2018,Paul Agusta
Buffalo Boys,2018,Mike Wiluan
Skull,2018,Yusron Fuadi
Meet Me After Sunset,2018,Danial Rifki
Tealight,2018,Gemadipada
Dilan 1990,2018,Pidi Baiq
Cemara's Family,2018,Yandy Laurens
Eiffel I'm in Love 2,2018,Rizal Mantovani
Revan & Reina,2018,Andreas Sullivan
Danur 2: Maddah,2018,Awi Suryadi
Sabrina,2018,Rocky Soraya
Yowis Band,2018,Fajar Nugros
Partikelir,2018,Pandji Pragiwaksono
Benyamin the Troublemaker,2018,Hanung Bramantyo
Love for Sale,2018,Andibachtiar Yusuf
Petualangan Menangkap Petir,2018,Kuntz Agus
Kulari ke Pantai,2018,Riri Riza
#FriendsButMarried,2018,Rako Prijanto
Arini,2018,Ismail Basbeth
Moonrise Over Egypt,2018,Pandu Adi Putra
Kenapa Harus Bule?,2018,Andri Cung
Milly & Mamet,2018,Ernest Prakasa
Alles Goed: From Gunung Kidul to Europe,2018,Wahyu F. Riyanto
Jelita Sejuba: Mencintai Kesatria Negara,2018,Ray Nayoan
Serendipity,2018,Indra Gunawan
Gila Lu Ndro,2018,Herwin Novianto
Terbang: Menembus Langit,2018,Fajar Nugros
Reunion Z,2018,Soleh Solihun
Ananta,2018,Rizki Balki
Offering,2018,Hanny Saputra
Alas Pati: Hutan Mati,2018,Jose Poernomo
The Gift,2018,Hanung Bramantyo
Lima,2018,Harvan Agustriansyah
Target,2018,Raditya Dika
Jailangkung 2,2018,Rizal Mantovani
Insya Allah Sah 2,2018,Anggy Umbara
The Chanting Revisited,2018,Rizal Mantovani
Kafir: A Deal with the Devil,2018,Azhar Kinoi Lubis
Bodyguard Ugal-Ugalan,2018,Irham Acho Bahtiar
Koki-Koki Cilik,2018,Ifa Isfansyah
Rasuk,2018,Ubay Fox
"R: Raja, Ratu, & Rahasia",2018,Findo Purwono
22 Menit,2018,Eugene Panji
Aib #Cyberbully,2018,Damita Argobie
Tumbal: The Ritual,2018,Mawar Eva de Jongh
Si Doel: The Movie,2018,Rano Karno
Dimsum Martabak,2018,Andreas Sullivan
Jaran Goyang,2018,Findo Purwono
Nyanyian Anak,2018,Bayu Oktara
Rocker Balik Kampung,2018,Uli Rahman
Sara & Fei: Stadhuis Schandaal,2018,Adisoerya Abdi
13: The Haunted,2018,Rudy Soedjarwo
DOA (Doyok-Otoy-Ali Oncom): Cari Jodoh,2018,Anggy Umbara
What Lies Within,2018,Rudi Aryanto
May the Devil Take You,2018,Timo Tjahjanto
Kasinem Is Coming,2018,Hasto Broto
Gentayangan,2018,Shyam Ramsay
Rompis,2018,Monty Tiwa
Lost,2018,Sammaria Simanjuntak
"Sultan Agung: Tahta, Perjuangan, Cinta",2018,Hanung Bramantyo
Cinta sama dengan Cindolo Na Tape,2018,Andi Burhamzah
Jejak Cinta,2018,Tarmizi Abka
Bisikan Iblis,2018,Hanny Saputra
Belok Kanan Barcelona,2018,Guntur Soeharjanto
Udah Putusin Aja!,2018,Rolly Subhandani
Aruna & Her Palate,2018,Edwin
Memories of My Body,2018,Garin Nugroho
Something in Between,2018,Asep Kusdinar
Ready Bro!,2018,Ody C. Harahap
Asih,2018,Awi Suryadi
Sakral,2018,Tema Patrosza
Baco Becce,2018,Syahrir Arsyad Dini
Arwah Tumbal Nyai the Trilogy: Part Arwah,2018,Arie Azis
3 Dara 2,2018,Monty Tiwa
Suzzana: Buried Alive,2018,Rocky Soraya
Menunggu Pagi,2018,Teddy Soeriaatmadja
Kesempatan Kedu(d)a,2018,Awi Suryadi
Dancing in the Rain,2018,Rudi Aryanto
Micin Generation,2018,Fajar Nugros
Dear Nathan Hello Salma,2018,Indra Gunawan
Jaga Pocong,2018,Hadrah Daeng Ratu
Asal Kau Bahagia,2018,Rako Prijanto
Keira,2018,Harry Dagoe
The Returning,2018,Witra Asliga
Tujuh Bidadari,2018,Muhammad Yusuf
Hanum & Rangga,2018,Benni Setiawan
Wahana Rumah Hantu,2018,Anto Lupus
A Man Called Ahok,2018,Putrama Tuta
Mama Mama Jagoan,2018,Sidi Saleh
Dongeng Mistis,2018,Orizon Astonia
Ave Maryam,2018,Robby Ertanto
Arwah Tumbal Nyai the Trilogy: Part Nyai,2018,Arie Azis
Namamu Kata Pertamaku,2018,Syahrir Arsyad Dini
Wengi: Anak Mayit,2018,Nayato Fio Nuala
Fit in with the App,2018,Adink Liwutang
Silam,2018,Jose Poernomo
Tusuk Jelangkung di Lubang Buaya,2018,Erwin Arnada
212: The Power of Love,2018,Jastis Arimba
27 Steps of May,2018,Ravi L. Bharwani
Death Whisper,2019,Awi Suryadi
My Stupid Boss 2,2019,Upi Avianto
Suporter Masuk Pesantren,2019,Quraisy Mathar
Humba Dreams,2019,Riri Riza
Bumi Itu Bulat,2019,Ron Widodo
MeloDylan,2019,Fajar Nugros
Mantan Manten,2019,Farishad I. Latjuba
Pocong the Origin,2019,Monty Tiwa
If I Were You,2019,Guntur Soeharjanto
Arwah Noni Belanda,2019,Agus Pestol
Cult,2019,William Chandra
Single 2,2019,Raditya Dika
"Kajeng Kliwon, Nightmare in Bali",2019,Bambang Drias
The Captain,2019,Andrew Lau
Pariban: Idola dari Tanah Jawa,2019,Andibachtiar Yusuf
Sukep: The Movie,2019,Akil Wasa
Ambu,2019,Farid Dermawan
Roh Fasik,2019,Ubay Fox
Jack,2019,Ainun Ridho
The Lawyers: Pokrol Bambu,2019,Dicky Chandra
Kuntilanak 2,2019,Rizal Mantovani
Ghost Writer,2019,Bene Dion Rajagukguk
#Malam Jumat: The Movie,2019,Hadrah Daeng Ratu
Si Doel the Movie 2,2019,Rano Karno
Down Swan,2019,Fuad Akbar
Hit & Run,2019,Ody C. Harahap
Mendadak Kaya,2019,Anggy Umbara
Rumah Kentang: The Beginning,2019,Rizal Mantovani
Susi Susanti: Love All,2019,Sim F.
Mountain Song,2019,Yusuf Radjamuda
Doremi & You,2019,B.W. Purba Negara
Rumah Merah Putih,2019,Ari Sihasale
Koki-Koki Cilik 2,2019,Viva Westi
Sabyan Menjemput Mimpi,2019,Alim Ishaq
Anak Muda Palsu,2019,Ihdar Nur
Follow Me to Hell,2019,Azhar Kinoi Lubis
Iqro: My Universe,2019,Iqbal Alfajri
Two Blue Stripes,2019,Ginatri S. Noer
Wedding Agreement,2019,Archie Hekagery
Koboy Kampus,2019,Pidi Baiq
Ajari Aku Islam,2019,Deni Pusung
This Earth of Mankind,2019,Hanung Bramantyo
The Fugitive,2019,Richard Oh
Twivortiare,2019,Benni Setiawan
Kutuk,2019,Rudi Aryanto
Pintu Merah,2019,Noviandra Santosa
Uka-Uka the Movie: Nini Tulang,2019,Ubay Fox
Dilarang Menyanyi di Kamar Mandi,2019,John de Rantau
Bridezilla,2019,Andibachtiar Yusuf
Suwung,2019,Hamka Winovan
Mahasiswi Baru,2019,Monty Tiwa
Eggnoid: Love & Time Portal,2019,Naya Anindita
99 Names of Love,2019,Danial Rifki
Suami yang Menangis,2019,Farid Ongky
Lorong,2019,Hestu Saputra
Love for Sale 2,2019,Andibachtiar Yusuf
Kiko in the Deep Sea,2019,Sally Wongso
Love is Blind,2019,Rachmania Arunita
Jeritan Malam,2019,Rocky Soraya
Makmum,2019,Hadrah Daeng Ratu
Mengejar Surga,2019,Bambang Drias
Ritual,2019,Findo Purwono
The Science of Fictions,2019,Yosep Anggi Noen
Zeta: When the Dead Awaken,2019,Amanda Iswan
The Queen of Black Magic,2019,Kimo Stamboel
Warkop DKI Reborn 3,2019,Rako Prijanto
Glorious Days,2019,Riri Riza
Sin: When Your Lover is a Sibling,2019,Herwin Novianto
#MoveOnAja,2019,Hestu Saputra
Lampor: The Flying Coffin,2019,Guntur Soeharjanto
Danur 3: Sunyaruri,2019,Awi Suryadi
Pretty Boys,2019,Tompi
Return of the Devil's Child,2019,Rudy Soedjarwo
Bike Boyz,2019,Aris Nugraha
Kapal Goyang Kapten,2019,Raymond Handaya
"6,9 Detik",2019,Lola Amaria
Horas Amang: Tiga Bulan Untuk Selamanya,2019,Irham Acho Bahtiar
Hayya: The Power of Love 2,2019,Jastis Arimba
Martabak Bangka,2019,Eman Pradipta
Habibie & Ainun 3,2019,Hanung Bramantyo
Imperfect,2019,Ernest Prakasa
Inem Pelayan Seksi New,2019,Hasto Broto
I Don't Believe You Died,2019,Wimbadi J.P.
Bangkitnya Mayit: The Dark Soul,2019,Dicky Chandra
Senior,2019,Indra Gunawan
Kelam,2019,Erwin Arnada
Bloodlust Beauty,2019,Anggy Umbara
Trinity Traveler,2019,Rizal Mantovani
Zharfa,2019,Ruli Wanisar
Abracadabra,2019,Faozan Rizal
Love Is A Bird,2019,Richard Oh
Darah Daging,2019,Sarjono Sutrisno
Nightmare Side: Delusional,2019,Joel Fadly
Homecoming,2019,Adriyanto Dewo
Rembulan Tenggelam di Wajahmu,2019,Danial Rifki
Mecca I'm Coming,2019,Jeihan Angga
Wening,2019,Agus Pestol
Bhàko: The Golden Leaf,2019,Alif Septian
The Meeting,2019,Ferry Lesmana
Gundala,2019,Joko Anwar
The Dogs,2019,Dean Yamada
The 3rd Eye 2,2019,Rocky Soraya
Impetigore,2019,Joko Anwar
Say I Love You,2019,Faozan Rizal
Tabu: Mengusik Gerbang Iblis,2019,Angling Sagaran
Perjanjian dengan Iblis,2019,Ardy Octaviand
Newly Rich,2019,Ody C. Harahap
Tembang Lingsir,2019,Rizal Mantovani
DreadOut,2019,Kimo Stamboel
Lagi-Lagi Ateng,2019,Monty Tiwa
Matt & Mou,2019,Monty Tiwa
After Met You,2019,Patrick Effendy
Terimakasih Cinta,2019,Tema Patrosza
PSP: Gaya Mahasiswa,2019,Hilman Mutasi
Preman Pensiun,2019,Aris Nugraha
Laundry Show,2019,Rizki Balki
The Way I Love You,2019,Rudi Aryanto
Too Handsome to Handle,2019,Sabrina Rochelle Kalangie
Satu Suro,2019,Anggy Umbara
An Anthology of Fellings,2019,Rizal Mantovani
Calon Bini,2019,Asep Kusdinar
Kain Kafan Hitam,2019,Yudhistira Bayuadji
Dilan 1991,2019,Pidi Baiq
11:11: Apa yang Kau Lihat?,2019,Andy Manoppo
Reva: Guna Guna,2019,Jose Poernomo
Anak Hoki,2019,Ginanti Rona Tembang Sari
Taufiq: Lelaki yang Menantang Badai,2019,Ismail Basbeth
Lukisan Ratu Kidul,2019,Ginanti Rona Tembang Sari
Yowis Ben 2,2019,Fajar Nugros
Roy Kiyoshi: The Untold Story,2019,Jose Poernomo
MatiAnak,2019,Derby Romero
The Sacred Riana: Beginning,2019,Billy Christian
Leak (Penangkeb),2019,Mimi Jegon
Kuambil Lagi Hatiku,2019,Azhar Kinoi Lubis
Once Upon a Time in Indonesia,2020,Asun Mawardi
Nikah Yuk,2020,Adhe Dharmastriya
The Exocet,2020,Robby Ertanto
Mangga Muda,2020,Girry Pratama
The Ex-Lover Shop,2020,Viva Westi
Crazy Awesome Teachers,2020,Sammaria Simanjuntak
Warkop DKI Reborn 4,2020,Rako Prijanto
The Garuda Kids,2020,Faozan Rizal
One Day We'll Talk About Today,2020,Angga Dwimas Sasongko
May the Devil Take You Too,2020,Timo Tjahjanto
The Storylines,2020,Danial Rifki
Dignitate,2020,Fajar Nugros
Rasuk 2,2020,Rizal Mantovani
Mangkujiwo,2020,Azhar Kinoi Lubis
My Diaries,2020,Angling Sagaran
Demi Waktu,2020,Faozan Rizal
Milea,2020,Pidi Baiq
Titus: Mystery of the Enygma,2020,Dineshkumar Subashchandra
Pesugihan: Bersekutu dengan Iblis,2020,Hanny Saputra
Detak,2020,Yongki Ongestu
Letter from Death,2020,Hestu Saputra
Fetus,2020,Ook Budiyono
Si Doel the Movie 3,2020,Rano Karno
Mariposa,2020,Fajar Bustomi
Klub Kecanduan Mantan,2020,Rachel Amanda
Wedding Partner,2020,Iip Sariful Hanan
#FriendButMarried 2,2020,Rako Prijanto
4 Mantan,2020,Hanny Saputra
Riki Rhino,2020,Erwin Budiono
Tenripada,2020,Syahrir Arsyad Dini
Tarung Sarung,2020,Archie Hekagery
I Know When You Dead,2020,Hadrah Daeng Ratu
Whipped,2020,Chandra Liow
Bus Om Bebek,2020,Aditya Gumay
100% Halal,2020,Jastis Arimba
The Ghost Painter,2020,Arie Kriting
Sabar Ini Ujian,2020,Anggy Umbara
Titisan Setan: Chapter Two,2020,Agusti Tanjung
Generasi 90an: Melankolia,2020,Mohammad Irfan Ramly
Kuyang,2020,Ismail Basbeth
Under the Age,2020,Emil Heradi
Malik and Elsa,2020,Eddy Prasetya
Lantai 4,2020,Wahyu Nugroho
Walking Dead - Tomate,2020,Eka Katili
Arwah Tumbal Nyai the Trilogy: Part Tumbal,2020,Arie Azis
Iblis Dalam Kandungan,2020,Adhe Dharmastriya
Love like the Falling Rain,2020,Lasja Fauzia
The Boy with Moving Image,2020,Roufy Nasution
Benyamin the Troublemaker 2,2020,Hanung Bramantyo
Angel Finds Wings,2020,Aria Kusumadewa
Story of Kale: When Someone's in Love,2020,Angga Dwimas Sasongko
Everyday Is a Lullaby,2020,Putrama Tuta
A Million of Loves for You,2020,Herwin Novianto
Denting Kematian,2020,Rudy Soedjarwo
X-tra Absurd,2020,Rangga Nattra
Nona,2020,Anggi Frisca
Asih 2,2020,Rizal Mantovani
Darah Biru Arema 2,2020,Taufan Agustyan
Mars and Venus (Collabs Version),2020,Hadrah Daeng Ratu
Quarantine Tales,2020,Ifa Isfansyah
Lily of the Valley,2020,Giovanni Rustanto
Louse,2020,Amir Pohan
Preman,2021,Randolph Zaini
Satria Dewa: Gatotkaca,2021,See full summary
Si Juki the Movie 2,2021,
Buya Hamka,2021,Fajar Bustomi
Ranah 3 Warna,2021,
KKN di Desa Penari,2021,Awi Suryadi
Jangan Sendirian,2021,X. Jo
Ali & the Queens,2021,Lucky Kuswandi
Layla Majnun,2021,Monty Tiwa
Ivanna Van Dijk,2021,
Tersanjung: The Movie,2021,Pandu Adjisurya
Nussa: The Movie,2021,Bony Wirasmono
Merindu Cahaya de Amstel,2021,
#StopOnYou,2021,Indra Gunawan
Ghibah,2021,Monty Tiwa
The Heartbreak Club,2021,Bagus Bramanti
Serigala Langit,2021,Reka Wijaya
The Doll 3,2021,The Doll 2
Terima Kasih Emak Terima Kasih Abah,2021,Dedi Setiadi
Backstage,2021,
Yowis Ben 3,2021,Fajar Nugros
Geez & Ann,2021,Rizki Balki
Kukira Kau Rumah,2021,Umay Shahab
Kadet 1947,2021,See full summary
Cinta Tanpa Tapi,2021,Bobby Herlambang
Makmum 2,2021,
Keluarga Slamet,2021,
Akhirat: A Love Story,2021,See full summary
The Heaven None Missed 3,2021,Pritagita Arianegara
Losmen Bu Broto,2021,Eddie Cahyono
Sherina's New Adventure,2021,Sherina's Adventure
"Vengeance Is Mine, All Others Pay Cash",2021,Edwin
Ghost Writer 2,2021,
Paranoia,2021,Riri Riza
Dealova 2,2021,
Adit Sopo Jarwo: The Movie,2021,Hanung Bramantyo
Naga Naga Naga,2021,
Keluarga Cemara 2,2021,Cemara's Family
A Perfect Fit,2021,Hadrah Daeng Ratu
Till Death Do Us Part,2021,Anggy Umbara
June and Kopi,2021,Noviandra Santosa
Penyalin Cahaya,2021,Wregas Bhanuteja
The Unchangeables,2021,Herwin Novianto
Yuni,2021,Kamila Andini
Affliction,2021,Teddy Soeriaatmadja
Devil on Top,2021,Anggy Umbara
World Agent,2021,Herwin Novianto
Zerre: Pendekar Ufuk Timur,2021,R. Jiwo Kusumo
"The Longer, the Better",2021,A. Rachman
"Arumi, Night Is Blue",2021,Je Yatmoko
Tentang Rindu,2021,Dyan Sunu Prastowo
Rain Behind the Window,2021,Dyan Sunu Prastowo
Dea,2021,Alberto Gerosa
Before Night Falls,2021,
You and Me,2021,Ivan Bandhito
Ghostbuser: Misteri Desa Penari,2021,Girry Pratama
Wedding Proposal,2021,Emil Heradi
Dear Imamku,2021,Dian Sasmita Faisal
Hari yang Dijanjikan,2021,Fajar Bustomi
Gas Kuy,2021,Derby Romero
Friendship Is Like a Cocoon,2021,Sentot Sahid
Marley,2021,
Teka Teki Tika,2021,Ernest Prakasa
Story of Dinda: The Second Change of Happiness,2021,Ginanti Rona
Death Knot,2021,Cornelio Sunny
I,2021,Anggy Umbara
Will,2021,Anggy Umbara
Survive,2021,Anggy Umbara
Akad,2021,Reka Wijaya
Amazing Love,2021,Hendra Martono
The Secret 2: Mystery of Villa 666,2021,Bambang Drias
Bisikan Arwah Mantan,2021,Hanny Mustofa
Selesai,2021,Tompi
OVOGames Daftar Agen Slot Online,2021,Ovogames
Aum!,2021,Bambang 'Ipoenk' K.M.
Notebook,2021,Karsono Hadi
Balada Sepasang Kekasih Gila,2021,Anggy Umbara
Marriage,2021,Danial Rifki
Pesan di Balik Awan,2021,Dyan Sunu Prastowo
No Mercy,2021,Muhammad Yusuf
The Watcher,2021,Anggy Umbara
Bluebell,2021,Muhammad Yusuf
Aku Lupa Aku Luka,2021,Dyan Sunu Prastowo
Hompimpa,2021,Arie Azis
Kabut,2021,Indra Gunawan
Aku Lupa Aku Luka,2021,Dyan Sunu Prastowo
A World Without,2021,Nia Di Nata
Onrust,2021,See full summary
Sepeda Presiden,2021,Garin Nugroho
Eyang Putri,2021,Bobby Prasetyo
Pintu Surga Terakhir,2021,See full summary
Love Knots,2021,
Baby Blues,2021,
Cinta Bete,2021,See full summary
Ayudia dan Jalan Pulangnya,2021,Rizqon Agustia Fahsa
The Teacher,2021,Sarjono Sutrisno
Sri Asih,2022,Upi Avianto
Ashiap Man,2022,
"Cinta Pertama, Kedua, & Ketiga",2022,
Dear Nathan Thank You Salma,2022,
Filosofi Kopi 3,2022,
Mencuri Raden Saleh,2022,
Perpetuate the Beast,2022,Natalia Lazarus
Noda Hitam Dalam Pelukan,2022,Dom Dharmo
Perang Kota,2022,Mouly Surya
The Big Four,2022,
Hitmen,2022,
Ksatria,2022,
Anak Bangsa,NA,
Balada Anak Negeri: Dear Amitabh Bachan,NA,Emil Bias
Virgo and the Sparklings,NA,Ody C. Harahap
The Blind of the Ghost Cave: Angel's Eyes,NA,Timo Tjahjanto
The Santri,NA,See full summary
Danur 4: Senjakala,NA,
Perempuan Bergaun Merah,NA,
Djoerig Salawe,NA,See full summary
Molulo 2: Jodohku yang Mana?,NA,See full summary
Surga di Bawah Langit,NA,
Godam & Tira,NA,Chelsea Islan
Deep Web Stalker: Don't Let Them Enter Your House,NA,Nicky Richsandy Pramana
Sebelum Iblis Menjemput Ayat 3: Dajjal,NA,Timo Tjahjanto
Kata,NA,
Jagat Arwah,NA,
Balada Si Roy,NA,
Garis Waktu,NA,
Lara Ati,NA,
Hello Ghost,NA,Indra Gunawan
12 Cerita Glen Anggara,NA,
Lockdown,NA,
Suami-Suami Masa Kini,NA,
Menunggu Bunda,NA,
Until Tomorrow,NA,
24 Jam Bersama Gaspar,NA,
You Have Too Many Kiddings,NA,
Kapan Hamil?,NA,Rizal Mantovani
Arini by Love.inc,NA,
Puisi Cinta yang Membunuh,NA,
Inang,NA,
"Before, Now, & Then",NA,
Pernikahan Dini,NA,
Anak Jalanan,NA,
Ayo Putus,NA,Rizal Mantovani
